categoryNumber,keyword,subkeyword,text,url
0,About 소개,,"네이버 클라우드 플랫폼 서비스 업데이트 소식과 기술 정보, 도입 사례 등 다양한 정보를 제공하는 네이버 클라우드 플랫폼의 포털 메뉴",
0,Academic Support Program 아카데믹 지원 프로그램,,미래 IT 전문가 육성을 위해 교직원 및 학생을 대상으로 클라우드 인프라와 교육을 제공하는 네이버 클라우드 플랫폼의 지원 프로그램 중 하나,
0,Access Control Group ACG 접근 제어 그룹 에이씨지,,IP 주소포트 번호 기반 필터링 기능으로 서버로의 네트워크 접근을 관리하는 그룹 자세히 보기,
0,Access Control List ACL 접근 제어 목록 에이씨엘,,특정 객체 또는 버킷에 대한 접근이 허가된 주체들과 이들 주체가 허가받은 접근 항목이 기록된 목록,
0,Access log 접근 로그,,CDN 사용 로그를 확인할 수 있는 기능으로 CDN 사용 로그를 자신의 오브젝트 스토리지 버킷에 약 1시간 주기로 저장. 무료 서비스이나 파일이 저장되는 오브젝트 스토리지 이용 요금은 별도 청구,
0,Account 계정,,네이버 클라우드 플랫폼을 이용하기 위해 등록한 메일 주소. 일반적으로 사용자 개인 정보 및 결제 정보가 포함된 의미이며 네이버 클라우드 플랫폼의 모든 서비스를 이용할 수 있는 아이디 역할,
0,Accounting 회계,,"네이버 클라우드 플랫폼의 WORKPLACE에서 회계 기준법에 맞춰 전표, 계정 과목을 관리하며 국세청 홈텍스 세금 계산서로 손쉽게 전표를 생성하는 기능",
0,Action² Action,,"네이버 클라우드 플랫폼의 Sub Account에서 각 서비스별 제공하는 권한 관리 단위로 View, Change가 있음",
0,Action¹ 액션,,"하나의 특정 작업을 수행하는 상태가 없는 코드 조각으로 JavaScript, Swift, Java, Python, PHP 등 원하는 언어로 작성 가능(예: 사용자 이미지 감지, 데이터 베이스 변경 사항 응답, API 호출 집합 집계가 가능하며 액션은 사용자에 의해 호출되거나 이벤트에 반응하여 실행될 수 있으며, 다른 액션의 결과를 입력으로 받아 시퀀스로 실행 가능) 자세히 보기",
0,Address Mapping Record A Record 주소 레코드 에이 레코드,,도메인 이름으로 IP 주소를 찾을 수 있도록 도메인 이름에 해당하는 IP 주소를 지정하는 레코드. 소유 도메인 및 그 하위 도메인의 IP 주소(IPv4) 지정 가능,
0,Admin Admin,,"네이버 클라우드 플랫폼의 네이버웍스에서 회사의 구성원, 조직, 그룹을 관리하며 보안 관련 이슈를 확인하고 조치하는 관리 기능",
0,Advanced workspace Advanced workspace,,AI Forest에서 AI Forest의 모든 기능을 이용할 수 있으며 싱글배치만 지원하는 워크플레이스,
0,AI AI,,"비즈니스에 즉시 적용 가능한 솔루션, 경쟁력 있는 인공지능 구축의 기반이 되는 강력한 AI 인프라, 네이버의 풍부한 데이터를 기반으로 학습된 최신 인공지능 서비스를 이용한 경쟁력 있는 AI 서비스를 쉽고 편리하게 구축할 수 있는 네이버 클라우드 플랫폼의 솔루션 자세히 보기",
0,AI Forest AI Forest,,GPU 서버를 동적으로 할당받아서 원하는 딥러닝 솔루션과 사용자 프로그램을 실행시킬 수 있는 플랫폼,
0,AI Hackathon AI 해커톤,,네이버에서 개발자와 연구자가 핵심적인 영역에 집중할 수 있도록 구축해 온 네이버 클로바 AI 개발 플랫폼 NSML을 사용하여 경진대회를 성공적으로 진행할 수 있도록 파트너사와 협력하여 제공하는 네이버 클라우드 플랫폼의 솔루션 자세히 보기,
0,AI Service AI Service,,"CLOVA, papago 등 네이버의 풍부한 데이터를 기반으로 학습된 최신 인공지능 서비스를 이용해 경쟁력 있는 AI 서비스를 쉽고 편리하게 구축할 수 있도록 지원하는 네이버 클라우드 플랫폼의 서비스 카테고리 자세히 보기",
0,Analytics Analytics,,데이터를 효과적으로 수집하고 통합 분석하는 서비스를 제공하는 네이버 클라우드 플랫폼의 서비스 카테고리 자세히 보기,
0,Anti-DDoS Anti-DDoS,,고객의 서비스로 인입되는 DDoS 공격을 탐지 및 차단하여 고객의 서비스가 안정적으로 운영될 수 있도록 지원하는 Security Monitoring Managed의 서비스,
0,Anti-Virus AV 안티 바이러스 에이브이,,악성코드를 탐지하고 방어하는 보안 솔루션. 고객이 운영 중인 서버의 악성코드를 실시간으로 탐지하고 격리삭제 조치하여 고객 서비스가 안정적으로 운영될 수 있도록 지원하는 서비스,
0,Apache Kafka Apache Kafka,,실시간 스트리밍 데이터 파이프라인 및 애플리케이션 빌드를 위한 오픈 소스 플랫폼으로 네이버 클라우드 플랫폼의 Cloud Data Streaming Service를 통해 소프트웨어를 설치 및 유지 관리할 필요 없이 클러스터를 손쉽게 구축 가능,
0,API authentication key API 인증키,,네이버 클라우드 플랫폼에서 제공 중인 상품의 다양한 기능을 제어할 수 있는 API를 보안을 위해 권한을 가진 사용자만 호출할 수 있도록 Access key와 Secret key 한 쌍으로 구성하여 회원별로 발급하는 사용자 식별 도구,
0,API Guide API 가이드,,네이버 클라우드 플랫폼에서 제공하고 있는 상품과 솔루션의 효과적인 활용을 돕기 위해 제공하는 API 사용 방법을 설명하는 기술 문서,
0,App Modulation  Modulation Check 앱 변조변조 검사,,원본 대비 변조된 앱의 실행 여부를 검사하는 서비스,
0,App Safer 앱 세이퍼,,모바일 기기에서 앱 실행 시 실시간으로 보안 위협을 탐지하는 서비스 자세히 보기,
0,App Safer Android App Safer Android,,네이버 클라우드 플랫폼이 제공하는 모바일 보안 솔루션. 모바일 기기나 서비스에 위협이 되는 행위로부터 모바일 애플리케이션의 안전한 실행 환경을 유지하기 위해 애플리케이션의 변조 여부와 모바일 보안 침해 시도들을 탐지하고 결과를 분석하여 제공,
0,App Safer iOS App Safer iOS,,네이버 클라우드 플랫폼이 제공하는 모바일 보안 솔루션으로 모바일 기기나 서비스에 위협이 되는 행위를 탐지하는 API를 제공. iOS용 App Safer 라이브러리는 하나의 프레임워크로 구성되어 있으며 Bitcode EnableDisable 환경 모두 지원,
0,App Security Checker 앱 시큐리티 체커,,모바일 앱의 정보 유출 위험을 비롯하여 잠재적인 보안 취약점에 대응할 수 있도록 점검하는 서비스 자세히 보기,
0,Apple Push Notification Service APNS 애플 푸시 알림 서비스 에이피엔에스,,"응용 프로그램 개발자가 Apple 장치(iOS, tvOS, and macOS)에 설치된 응용 프로그램으로 알림 데이터를 보낼 수 있는 플랫폼 알림 서비스",
0,Application 애플리케이션,,API를 활용하여 만들어지는 다양한 응용 프로그램,
0,Application Programming Interface API 애플리케이션 프로그래밍 인터페이스 에이피아이,,"프로그래밍 작업을 통해 운영체제, 시스템, 애플리케이션, 라이브러리 등을 이용하여 응용 프로그램을 작성할 수 있게 하는 다양한 인터페이스의 총칭",
0,Application Programming Interface Gateway API Gateway 애플리케이션 인터페이스 게이트웨이 에이피아이 게이트웨이,,안정적인 API 호출을 돕는 다양한 관리 기능과 모니터링 대시보드를 제공하는 서비스 자세히 보기,
0,Application Server Launcher Application Server Launcher,,전세계에서 많이 사용하고 있는 오픈소스 소프트웨어를 쉽게 설치할 수 있도록 도와주는 서비스 자세히 보기,
0,Application Service Application Service,,네이버에서 사용하는 기술과 서비스를 API로 제공하여 다양한 서비스를 개발할 수 있도록 지원하는 네이버 클라우드 플랫폼의 서비스 카테고리 자세히 보기,
0,Archive Storage 아카이브 스토리지,,데이터 아카이빙 및 장기 백업에 최적화된 스토리지 서비스 자세히 보기,
0,Artificial Intelligence AI 인공지능 에이아이,,인간이 지닌 지적 능력의 일부나 전체를 인공적으로 구현한 서비스,
